customer_id,transaction_date,amount,region
4,2024/06/09,53,高雄
4,2024-07-01,45,高雄
4,2024-08-01,47,高雄
4,2024-09-23,53,高雄
4,2024-10-27,47,高雄
6,2024年06月21日,148,kaohsiung
6,2024-07-20,158,高雄
6,2024-08-08,170,Kaohsiung
507,2024-09-13,135,高雄
6,2024年10月13日,164,高雄
502,2024-11-15,135,高雄
6,2024年12月11日,167,高雄市
7,2024-10-02,2318,高雄
7,2024-11-08,47,高雄
7,2024-12-14,-55,高雄
8,2024-01-17,170,新竹
8,2024-02-14,2409,新竹
8,2024-03-15,170,hsinchu
8,2024-04-01,149,新竹
8,2024-05-06,145,新竹市
8,2024/06/01,166,新竹
8,2024年07月03日,142,新竹
8,2024-08-04,136,hsinchu
8,2024-09-14,143,新竹
8,2024-10-13,139,新竹
8,2024年11月27日,142,新竹
501,2024-12-02,154, 新竹
9,2024-01-07,451,高雄
9,2024-02-27,-571, 高雄
9,2024-03-26,3778,高雄
9,2024-04-07,1172,kaohsiung
10,2024-09-17,155,台北
11,2024/08/13,54,台北
12,2024-01-09,-147,台南
12,2024/02/13,136,台南
12,2024-03-23,4631,台南
12,2024-04-24,1006,台南
12,2024-05-14,160,台南
12,2024-06-03,170,台南
12,2024-07-12,161,台南
12,2024-08-14,168,台南市
12,2024-09-26,2442,台南
504,2024-10-18,145,臺南
12,2024-11-26,-161,台南
508,2024-12-13,165,台南
14,2024/11/25,143,高雄
14,2024-12-07,158,高雄 
15,2024-11-16,148,新竹
15,2024-12-06,141,新竹
16,2024-01-12,53,台中
510,2024-02-02,53,台中
16,2024-03-10,45,台中
16,2024-04-18,50,台中
16,2024-05-11,48,台中 
504,2024-06-26,45,台中
16,2024-07-20,45,台中
16,2024/08/16,52,台中
16,2024-09-27,4661,台中
16,2024-10-09,4080,台中
16,2024年11月22日,50,Taichung
16,2024-12-22,50,Taichung
17,2024-04-14,NT$156,臺北
17,2024-05-22,162,台北
17,2024-06-20,141,台北
17,2024-07-04,143,台北
17,2024/08/11,170,台北
17,2024/09/26,144,Taipei
509,2024-10-12,141,taipei
18,2024-08-12,487,台南
18,2024-09-25,528,臺南
18,2024-10-22,475,台南
18,2024-11-17,531,台南
18,2024年12月25日,462,台南
19,2024-01-10,52, 台北
19,2024/02/27,51,台北 
19,2024年03月26日,54,台北
366,2024-03-16,144,高雄
19,2024/05/17,52,台北
19,2024-06-15,51, 台北
507,2024-07-20,52,台北
19,2024-08-14,-55,臺北
505,2024-09-01,54,台北
19,2024-10-01,998,台北
19,2024-11-25,44,台北
19,2024-12-03,-47,台北
21,2024/01/13,48,高雄
21,2024-02-21,52,高雄
21,2024-03-23,2492,高雄市
21,2024-04-13,46,高雄
21,2024-05-28,49,高雄 
21,2024-06-03,45, 高雄
21,2024-07-21,49,高雄
21,2024-08-12,48,高雄
22,2024年01月14日,455,台南
22,2024-02-15,455,台南
22,2024-03-22,468,台南
22,2024-04-20,-503,台南
502,2024-05-01,498,Tainan
23,2024年01月28日,51,新竹 
23,2024-02-22,45,新竹
23,2024-03-09,45,新竹市
25,2024-01-05,46,台南
25,2024-02-01,-52, 台南
25,2024-03-06,"2,033",台南
25,2024-04-26,45,台南
25,2024/05/20,49,台南
25,2024-06-06,53,Tainan
25,2024-07-08,48,台南
25,2024-08-12,52,tainan
25,2024-09-27,2014,台南
25,2024-10-01,2122, 台南
27,2024-06-08,47,高雄
27,2024-07-17,49,kaohsiung
27,2024-08-23,46,高雄
27,2024-09-20,46,kaohsiung
27,2024年10月08日,54,高雄
27,2024-11-24,-52,高雄
27,2024-12-18,44,高雄
28,2024/01/02,511,台北
29,2024-07-26,171,台中
29,2024-08-22,NT$162,台中
29,2024-09-10,137,台中
29,2024-10-09,154,台中
29,2024/11/14,161,台中
29,2024年12月03日,168,Taichung
30,2024年01月18日,482,台南
30,2024-02-22,1465,台南
505,2024-03-26,554,台南
30,2024-04-07,496,臺南
30,2024/05/14,527,台南
30,2024-06-07,2159,台南市
30,2024/07/01,464,tainan
30,2024-08-08,-457,台南
501,2024-06-28,156, 台南
32,2024-07-15,143,台南
33,2024/05/03,471,臺南
33,2024-06-27,458,台南市
33,2024/07/23,541,台南
34,2024-08-12,517,台北
34,2024年09月21日,571,台北
34,2024-10-13,481,台北市
34,2024-11-14,554,台北
34,2024-12-20,-459,台北 
36,2024-06-02,462,台南
37,2024-07-04,47,台北 
37,2024-08-14,48,台北
37,2024-09-03,1524,台北
37,2024-10-13,48, 台北
37,2024-11-06,45,台北
37,2024-12-08,54,台北
39,2024-10-14,4715,高雄
41,2024/07/09,562,新竹
41,2024-08-01,487,新竹
41,2024年09月06日,521,新竹 
41,2024-10-10,571,新竹
41,2024-11-26,3363,新竹
41,2024-12-20,554,新竹
508,2024-01-16,49,台北 
42,2024/02/05,56,台北
42,2024-03-11,51, 台北
42,2024-04-01,53,台北
42,2024-05-10,55,台北 
42,2024-06-09,54,taipei
44,2024年05月16日,147,台南
44,2024-06-23,155,臺南
44,2024-07-28,134,台南
44,2024-08-26,-137,台南
44,2024-09-17,155,tainan
44,2024-10-05,135,台南
44,2024-11-03,1455,台南
44,2024年12月14日,158,tainan
46,2024-04-16,47,新竹
46,2024-05-02,54,新竹
46,2024-06-09,46,新竹
48,2024-02-02,165,新竹
48,2024-03-05,141,hsinchu
48,2024-04-27,159,新竹
48,2024年05月24日,171,新竹市
48,2024-06-28,154,新竹
48,2024-07-13,137,新竹
48,2024-08-20,2104, 新竹
48,2024-09-25,166,新竹
48,2024-10-21,137,新竹
48,2024-11-22,170,新竹
48,2024-12-19,139,新竹
49,2024-01-18,-157,台中
50,2024-01-27,-147,新竹市
50,2024年02月10日,147,hsinchu
50,2024年03月02日,143,新竹
50,2024-04-27,143, 新竹
50,2024-05-26,-135,新竹
50,2024-06-18,150,新竹
50,2024/07/25,144,新竹
50,2024-08-14,-154,新竹
51,2024-02-26,147,高雄
51,2024-03-24,135,高雄
51,2024年04月10日,164,高雄 
51,2024-05-07,-140, 高雄
51,2024-06-21,164,高雄
51,2024/07/27,145,高雄
51,2024-08-11,162, 高雄
51,2024-09-17,3413,高雄
51,2024-10-08,159,Kaohsiung
51,2024-11-11,164,高雄
52,2024-08-26,4821,新竹
52,2024/09/03,564,新竹
52,2024-10-01,-546,新竹
504,2024-11-09,562,新竹
52,2024-12-27,528,新竹市
53,2024年12月28日,153,新竹
54,2024-06-02,49,高雄
55,2024-01-17,"1,260",台南
55,2024-02-03,563,Tainan
55,2024-03-14,500,台南
59,2024-01-20,563,高雄
59,2024-02-15,2923,高雄
59,2024-03-02,455,高雄
59,2024-04-12,525,高雄
60,2024/01/13,472,台南
61,2024-08-13,564,台南
61,2024-09-04,1455,台南
61,2024-10-24,952, 台南
61,2024-11-15,-549,台南
504,2024-12-08,510,台南
62,2024-12-03,139,台南市
65,2024-01-23,-54,台中
66,2024-03-22,139,台中
66,2024-04-01,926,臺中
66,2024-05-18,170,台中市
66,2024-06-28,153,台中
66,2024-07-16,170,台中 
66,2024年08月11日,170,台中
66,2024-09-18,-139,台中
67,2024-01-15,-477,kaohsiung
67,2024/02/24,483,高雄
278,2024-08-23,544,台南
67,2024-04-04,503,高雄
67,2024-05-23,459,高雄
67,2024-06-19,467,高雄 
67,2024-07-17,478,高雄
67,2024-08-14,4792,高雄
67,2024-09-06,468,高雄市
68,2024-01-17,55,台南
70,2024-09-22,"1,459",台北 
70,2024-10-16,4930, 台北
70,2024-11-28,155,Taipei
70,2024-12-02,143,臺北
71,2024-12-16,164,台南
74,2024-07-10,162,高雄
74,2024-08-06,141,高雄
75,2024-09-04,49,tainan
75,2024-10-09,53,台南
75,2024-11-05,50,台南
75,2024年12月13日,46,台南
503,2024-07-07,45,臺中
76,2024-08-26,49,taichung 
76,2024-09-02,46,台中
76,2024-10-23,54,台中
76,2024-11-11,55,台中
76,2024-12-05,53,台中
77,2024-07-28,167,台北
77,2024-08-24,2976,台北
77,2024-09-26,134,台北
77,2024年10月10日,149,taipei
77,2024-11-19,152,台北
77,2024-12-20,166,台北
78,2024-01-27,47,台南
78,2024-02-13,56,台南
78,2024-03-03,47,台南
78,2024年04月28日,46,台南
78,2024-05-16,49,Tainan
78,2024年06月16日,50,台南
78,2024-07-10,47,台南
78,2024-08-26,2779,台南
79,2024-09-13,157,台中
79,2024-10-25,-146,台中 
79,2024-11-24,150,台中
79,2024/12/20,158,taichung 
80,2024-05-27,"1,228",新竹
80,2024年06月14日,142,新竹
80,2024-07-14,147,hsinchu
81,2024-09-19,165,台南
81,2024-10-26,-157,臺南
81,2024-11-16,160,台南
503,2024-12-22,160,tainan
82,2024-01-22,136,taichung 
82,2024-02-22,162,台中
83,2024年05月04日,152,台南
83,2024-06-06,-146,台南市
83,2024-07-16,145,台南
504,2024-06-16,53, 新竹
85,2024-07-26,51,新竹
507,2024-08-02,53,新竹
85,2024年09月15日,55,新竹
509,2024-10-05,51,新竹
85,2024-11-26,49,新竹
85,2024/12/10,45,新竹
86,2024/04/03,56,taipei
86,2024-05-06,-56,台北
86,2024-06-05,44,台北
86,2024-07-27,47,台北 
86,2024-08-04,53,台北
86,2024-09-05,45,台北
86,2024-10-07,1466,台北
86,2024-11-01,54,台北
86,2024-12-24,53,台北
87,2024-12-27,472,台中 
88,2024-01-03,490,高雄
88,2024-02-24,-478,kaohsiung
88,2024-03-01,524,高雄
88,2024年04月25日,555,高雄
88,2024-05-04,545,高雄
90,2024年12月14日,560,高雄
92,2024-12-08,162,高雄
94,2024-01-04,56,tainan
94,2024-02-02,47,台南
94,2024-03-16,45,臺南
94,2024-04-03,待確認,台南
94,2024-05-07,49,台南
94,2024-06-22,45,台南
95,2024-11-24,-137,台北
95,2024-12-24,-157,台北
96,2024-10-25,166,臺中
96,2024-11-20,-166,台中
96,2024-12-10,168,台中
97,2024-12-28,138,台南
98,2024-03-23,552,新竹
98,2024年04月02日,455,新竹
98,2024年05月13日,534,新竹
98,2024-06-24,-478,新竹
98,2024-07-06,521,新竹
98,2024-08-16,536,hsinchu
98,2024-09-13,465,新竹
98,2024-10-10,537, 新竹
98,2024-11-07,493,新竹
98,2024-12-07,528,新竹
99,2024-01-27,-464,新竹
99,2024-02-06,509,新竹
99,2024-03-28,519,新竹市
100,2024年12月18日,142,台南
102,2024年06月25日,153,高雄 
103,2024-12-22,481,新竹
104,2024-09-16,460,台中
104,2024-10-26,-530,taichung 
104,2024-11-11,534,台中
