customer_id,transaction_date,amount,region
4,2024-06-09,53.0,高雄
4,2024-07-01,45.0,高雄
4,2024-08-01,47.0,高雄
4,2024-09-23,53.0,高雄
4,2024-10-27,47.0,高雄
6,2024-06-21,148.0,高雄
6,2024-07-20,158.0,高雄
6,2024-08-08,170.0,高雄
6,2024-10-13,164.0,高雄
6,2024-12-11,167.0,高雄
7,2024-10-02,2318.0,高雄
7,2024-11-08,47.0,高雄
8,2024-01-17,170.0,新竹
8,2024-02-14,2409.0,新竹
8,2024-03-15,170.0,新竹
8,2024-04-01,149.0,新竹
8,2024-05-06,145.0,新竹
8,2024-06-01,166.0,新竹
8,2024-07-03,142.0,新竹
8,2024-08-04,136.0,新竹
8,2024-09-14,143.0,新竹
8,2024-10-13,139.0,新竹
8,2024-11-27,142.0,新竹
9,2024-01-07,451.0,高雄
9,2024-03-26,3778.0,高雄
9,2024-04-07,1172.0,高雄
10,2024-09-17,155.0,台北
11,2024-08-13,54.0,台北
12,2024-02-13,136.0,台南
12,2024-03-23,4631.0,台南
12,2024-04-24,1006.0,台南
12,2024-05-14,160.0,台南
12,2024-06-03,170.0,台南
12,2024-07-12,161.0,台南
12,2024-08-14,168.0,台南
12,2024-09-26,2442.0,台南
14,2024-11-25,143.0,高雄
14,2024-12-07,158.0,高雄
15,2024-11-16,148.0,新竹
15,2024-12-06,141.0,新竹
16,2024-01-12,53.0,台中
16,2024-03-10,45.0,台中
16,2024-04-18,50.0,台中
16,2024-05-11,48.0,台中
16,2024-07-20,45.0,台中
16,2024-08-16,52.0,台中
16,2024-09-27,4661.0,台中
16,2024-10-09,4080.0,台中
16,2024-11-22,50.0,台中
16,2024-12-22,50.0,台中
17,2024-04-14,156.0,台北
17,2024-05-22,162.0,台北
17,2024-06-20,141.0,台北
17,2024-07-04,143.0,台北
17,2024-08-11,170.0,台北
17,2024-09-26,144.0,台北
18,2024-08-12,487.0,台南
18,2024-09-25,528.0,台南
18,2024-10-22,475.0,台南
18,2024-11-17,531.0,台南
18,2024-12-25,462.0,台南
